employee,2023_office_location_type,2024_office_location_type,2023_home_location_type,2024_home_location_type,2023_mode,2024_mode,,,office urban changed?,home urban changed?,Mode Changed?,,,,employee,2023_office_location_type,2023_home_location_type,2023_mode,2024_mode,mode_shift
1161019188,urban,urban,urban,urban,car,bike,,,no,no,yes,,,,1161019188,urban,urban,car,bike,car ? bike
1173791782,urban,urban,urban,urban,car,public_transport,,,no,no,yes,,,,1173791782,urban,urban,car,public_transport,car ? public_transport
1174202749,urban,urban,urban,urban,walking,car,,,no,no,yes,,,,1174202749,urban,urban,walking,car,walking ? car
1180266545,urban,urban,urban,urban,carpooling_driver,car,,,no,no,yes,,,,1180266545,urban,urban,carpooling_driver,car,carpooling_driver ? car
1181342552,urban,urban,non_urban,non_urban,motorcycle,car,,,no,no,yes,,,,1181342552,urban,non_urban,motorcycle,car,motorcycle ? car
1181492559,peri_urban,peri_urban,urban,urban,car,motorcycle,,,no,no,yes,,,,1181492559,peri_urban,urban,car,motorcycle,car ? motorcycle
1196329104,urban,urban,peri_urban,peri_urban,public_transport,spostamento multimodale,,,no,no,yes,,,,1196329104,urban,peri_urban,public_transport,spostamento multimodale,public_transport ? spostamento multimodale
1206025205,urban,urban,urban,urban,car,public_transport,,,no,no,yes,,,,1206025205,urban,urban,car,public_transport,car ? public_transport
1212138987,urban,urban,urban,urban,public_transport,motorcycle,,,no,no,yes,,,,1212138987,urban,urban,public_transport,motorcycle,public_transport ? motorcycle
1216788665,peri_urban,peri_urban,urban,urban,carpooling_driver,car,,,no,no,yes,,,,1216788665,peri_urban,urban,carpooling_driver,car,carpooling_driver ? car
1222284036,urban,urban,urban,urban,carpooling_driver,car,,,no,no,yes,,,,1222284036,urban,urban,carpooling_driver,car,carpooling_driver ? car
1248382011,urban,urban,urban,urban,public_transport,car,,,no,no,yes,,,,1248382011,urban,urban,public_transport,car,public_transport ? car
1252709817,urban,urban,peri_urban,peri_urban,motorcycle,car,,,no,no,yes,,,,1252709817,urban,peri_urban,motorcycle,car,motorcycle ? car
1258972046,urban,urban,peri_urban,peri_urban,spostamento multimodale,public_transport,,,no,no,yes,,,,1258972046,urban,peri_urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
