"textid","description"
defval_3067939291,"sì, se ci fossero percorsi ciclabili sicuri"
defval_2637826285,"sì, se potessi usufruire di un contributo per l?acquisto della bicicletta o dell?equipaggiamento"
defval_2915043656,"sì, se potessi usufruire di convenzioni per assicurare la bicicletta"
defval_3038382562,"sì, se fossero disponibili rastrelliere sicure"
defval_3010529620,"sì, se fosse disponibile un armadietto a me dedicato dove lasciare libri"
defval_2988378574,"sì, solo per andare a scuola"
defval_3241740795,"sì, solo per tornare da scuola"
defval_2908752293,sì per andare e tornare da scuola
defval_262734701,studente
defval_192348899,docente
defval_28246231,ATA
defval_2866809120,Automazione AUT
defval_2691238226,Biotecnologie Ambientali AMB
defval_2842102001,Chimica e Biotecnologie Sanitarie SAN
defval_3243379172,Chimica e Materiali CHI
defval_2931558779,Chimica materiali e biotecnologie biennio C
defval_2986543525,Elettrotecnica ELT
defval_2787903729,Energia ENE
defval_2449344984,Meccanica e Meccatronica MEC
defval_99877363,"1 sede"
defval_100532728,"2 sedi"
defval_2817722621,Elettronica ROB
defval_2995128701,Elettronica ed elettrotecnica biennio E
defval_2797930823,Elettronica serale SE
defval_899419882,Meccanica meccatronica energia biennio M
defval_4035382481,Meccanica e Meccatronica Oleggio MOL
defval_3442217502,Meccanica meccatronica energia biennio Oleggio OL
defval_3005811147,uomo
defval_2747402544,donna
defval_1161299633,Meccanica Serale SM
defval_2969110862,fra 41 e 50 anni
defval_2913143178,resto nei pressi della sede di lavoro
defval_2935949729,difficoltà del parcheggio
defval_2981038549,sicurezza
defval_3109882420,alternativa meno stressante
defval_2890467687,salute
defval_3013347737,tempo di viaggio
defval_2897807865,comfort
defval_3333622472,fra 51 e 60 anni
defval_3048933895,"sì, se potessi rateizzare il costo "
defval_514393320,Monopoattino
defval_742524186,Startech S.r.l.
defval_2866874763,"treno, passante ferroviario"
defval_3010922954,autonomia di movimento
defval_2778532180,"sì, per commissioni o acquisti"
defval_3024030077,"sì, per accompagnare i figli a scuola o altri familiari"
defval_2563705039,"sì, per attività ricreative"
defval_2693793978,"sì, per altri motivi"
defval_2710440303,più di 60 anni
defval_2782988557,rispetto dell?ambiente
defval_2759854360,attività extralavorative
defval_2947811832,mancanza di percorsi ciclabili
defval_2913077447,no
defval_3046771017,"sì, 1 o 2 volte a settimana"
defval_2894530972,"sì, 1 o 2 volte al mese"
defval_2847279386,euro 3
defval_2947549492,più di 450 euro
defval_2767718558,a piedi
defval_2938898756,Dichiaro di aver letto l?informativa sulla privacy e acconsento al trattamento dei miei dati personali
defval_2577729729,uomo
defval_2933852587,donna
defval_2843085193,meno di 20 anni
defval_2833516856,fra 21 e 30 anni
defval_3119909176,fra 31 e 40 anni
defval_2837973348,Quadro/dirigente
defval_2738358475,Impiegato/operaio
defval_2769553691,assunto a tempo indeterminato
defval_2974616085,assunto a tempo determinato
defval_2792032649,collaboratore a progetto
defval_2799044847,consulente
defval_2581006463,professionista/partita iva
defval_2714175774,lavoratore interinale
defval_2760902895,apprendista/in formazione
defval_2795112768,altro
defval_3209562619,full time 5 giorni a settimana
defval_2677147834,full time 6 giorni a settimana
defval_2596538596,part time verticale
defval_2827684122,part time orizzontale
